name,address,latitud,longitud,Location
Hyatt Place Manati,"122 Carretera PR-2, Manati 00674, Puerto Rico",18.432978,-66.476189,"122 Carretera PR-2, Manati 00674, Puerto Rico
(18.432978, -66.476189)"
The Tarpon's Nest Lodge,"Route 187 KM 5.6,Torrecilla Baja, Loiza 772, Puerto Rico",18.442972,-65.889328,"Route 187 KM 5.6,Torrecilla Baja, Loiza 772, Puerto Rico
(18.442972, -65.889328)"
"The Ritz-Carlton, San Juan","6961 Ave of the Governors, Isla Verde, Carolina 00979, Puerto Rico",18.444025,-66.013268,"6961 Ave of the Governors, Isla Verde, Carolina 00979, Puerto Rico
(18.444025, -66.013268)"
BEST WESTERN PLUS Condado Palm Inn & Suites,"55 Ave. Condado, San Juan 00908, Puerto Rico",18.455462,-66.072182,"55 Ave. Condado, San Juan 00908, Puerto Rico
(18.455462, -66.072182)"
W Retreat & Spa Vieques,"State Road 200 Km 3.2 - HC1 | Box 9368, 0000765, Puerto Rico",18.142778,-65.471443,"State Road 200 Km 3.2 - HC1 | Box 9368, 0000765, Puerto Rico
(18.142778, -65.471443)"
Horned Dorset Primavera,"Apartado 1132, Rincon 00677, Puerto Rico",18.299036,-67.2306,"Apartado 1132, Rincon 00677, Puerto Rico
(18.299036, -67.2306)"
Lazy Parrot Inn,"Carr. 413, Km 4.1 | Barrio Puntas, Rincon 00677, Puerto Rico",18.360081,-67.265549,"Carr. 413, Km 4.1 | Barrio Puntas, Rincon 00677, Puerto Rico
(18.360081, -67.265549)"
Courtyard by Marriott Isla Verde Beach Resort,"7012 Boca de Cangrejos Ave, Isla Verde, Carolina 00979, Puerto Rico",18.443546,-66.009384,"7012 Boca de Cangrejos Ave, Isla Verde, Carolina 00979, Puerto Rico
(18.443546, -66.009384)"
Four Points by Sheraton Caguas Real Hotel & Casino,"500 Alhambra en Granada Blvd., Caguas 00726, Puerto Rico",18.201939,-66.051826,"500 Alhambra en Granada Blvd., Caguas 00726, Puerto Rico
(18.201939, -66.051826)"
Hilton Ponce Golf & Casino Resort,"1150 Caribe Ave., Ponce 00716, Puerto Rico",17.97204,-66.601898,"1150 Caribe Ave., Ponce 00716, Puerto Rico
(17.97204, -66.601898)"
Casa Grande Mountain Retreat,"Road 612, Km. 0.3 | Barrio Caonillas, Utuado 00641, Puerto Rico",18.283354,-66.641776,"Road 612, Km. 0.3 | Barrio Caonillas, Utuado 00641, Puerto Rico
(18.283354, -66.641776)"
Hotel Colonial,"14 S Iglesia Street, Mayaguez 00681, Puerto Rico",18.20146,-67.138184,"14 S Iglesia Street, Mayaguez 00681, Puerto Rico
(18.20146, -67.138184)"
Sheraton Puerto Rico Hotel & Casino,"200 Convention Boulevard, San Juan 00907, Puerto Rico",18.454334,-66.090668,"200 Convention Boulevard, San Juan 00907, Puerto Rico
(18.454334, -66.090668)"
